sex,caring_for_household_members,caring_for_non_household_members,consumer_purchases,eating_and_drinking,education,government_services_and_civic_obligations,household_activities,household_services,personal_care_activities,professional_and_personal_care_services,religious_and_spiritual_activities,socializing_relaxing_and_leisure,sports_exercise_and_recreation,telephone_calls,traveling,volunteer_activities,work_and_work_related_activities
female,0,0,0,133,460,0,30,0,437,0,0,95,160,0,125,0,0
female,176,0,13,60,0,0,118,0,657,0,0,245,150,0,21,0,0
female,0,0,90,70,0,0,154,0,556,0,0,325,0,45,50,150,0
male,0,0,0,105,0,0,150,0,570,0,0,615,0,0,0,0,0
female,63,0,3,5,0,0,116,0,492,0,0,233,0,0,41,0,487
female,0,0,60,200,0,0,270,0,580,0,0,140,0,0,125,0,0
male,60,0,10,0,120,0,105,0,430,0,0,683,0,0,32,0,0
female,55,0,45,51,0,0,75,0,470,0,45,357,70,0,102,0,170
female,0,0,0,15,0,0,0,0,690,285,0,0,0,210,240,0,0
male,0,0,0,30,0,0,0,0,270,0,0,30,0,0,110,0,1000
female,15,0,0,30,0,0,60,0,480,0,0,30,190,0,70,0,565
female,96,0,0,55,0,0,85,0,520,0,0,140,0,0,57,0,487
male,59,0,0,75,0,0,0,0,510,0,0,116,40,0,70,0,570
male,0,0,80,195,0,0,35,0,865,0,0,255,0,0,10,0,0
female,70,0,30,15,0,0,160,0,830,0,0,315,0,0,20,0,0
female,0,0,0,90,0,0,0,0,720,0,0,570,0,0,60,0,0
female,0,0,20,60,0,0,180,0,550,0,0,170,0,120,340,0,0
female,32,0,30,80,0,0,0,0,518,0,0,433,0,45,97,0,205
female,0,0,0,65,0,0,160,0,710,0,0,495,0,10,0,0,0
female,0,0,0,30,0,0,0,0,660,0,0,190,0,0,45,515,0
female,0,0,0,20,0,0,90,0,900,0,0,400,0,30,0,0,0
male,60,0,0,135,0,0,330,0,480,0,0,255,0,0,30,0,90
female,0,0,375,30,0,0,0,0,760,0,0,60,0,0,65,0,150
female,0,0,0,15,0,0,60,0,545,0,0,760,0,0,60,0,0
female,240,57,30,90,0,0,300,0,507,0,0,60,77,0,79,0,0
female,120,0,10,40,0,0,120,0,625,0,0,180,0,0,60,0,285
male,0,0,90,15,0,0,275,0,660,0,0,240,0,0,40,0,0
female,230,0,0,110,0,0,185,0,485,0,0,370,0,0,60,0,0
male,0,0,0,55,0,0,60,0,360,0,0,320,0,0,70,0,575
male,60,0,0,105,0,0,30,0,440,0,0,150,60,0,140,0,455
female,90,0,15,60,0,0,320,0,765,0,0,90,0,0,30,0,0
male,60,0,20,215,0,0,320,0,465,0,0,290,0,0,70,0,0
male,0,60,0,70,0,0,0,0,815,0,0,450,0,0,45,0,0
female,90,0,0,75,0,0,115,0,345,0,0,120,0,0,150,0,545
male,0,0,0,0,0,0,0,0,1125,0,0,270,0,0,45,0,0
female,0,0,120,86,0,0,300,0,750,0,0,180,0,0,4,0,0
male,90,0,0,30,0,0,0,0,540,0,0,235,0,0,70,0,475
female,0,0,360,120,0,0,160,0,445,0,0,195,0,40,120,0,0
female,0,0,120,45,0,0,0,0,540,0,0,525,0,0,160,0,0
female,0,0,0,120,0,0,375,0,390,0,0,555,0,0,0,0,0
female,60,0,150,30,0,0,90,0,720,0,0,280,0,0,110,0,0
male,0,0,0,30,0,0,0,0,420,0,0,285,120,0,150,0,435
male,0,0,60,45,0,0,90,0,985,0,0,240,0,0,20,0,0
female,130,0,0,60,0,0,210,0,540,0,0,380,60,0,60,0,0
female,60,18,166,80,0,0,168,0,615,0,0,158,0,0,175,0,0
female,93,0,5,44,0,0,60,0,510,0,0,80,0,0,68,0,580
female,0,0,0,325,0,0,0,0,420,0,0,570,0,0,125,0,0
female,30,0,120,50,0,0,380,0,840,0,0,0,0,0,20,0,0
female,269,0,33,105,0,0,66,0,560,35,0,150,0,0,77,0,145
male,0,0,0,60,0,0,30,0,610,0,0,280,400,0,60,0,0
male,0,0,0,30,480,0,0,0,555,0,0,285,0,0,90,0,0
male,0,0,0,30,790,0,0,0,520,0,0,60,0,0,40,0,0
female,0,10,220,0,0,0,160,0,590,0,0,210,0,0,130,120,0
male,0,0,30,15,0,0,165,50,669,0,0,150,0,0,62,129,170
male,135,0,285,75,0,0,15,0,570,75,0,230,0,0,55,0,0
female,266,0,68,3,0,0,280,90,597,0,0,0,0,0,136,0,0
male,0,0,0,100,0,0,215,0,495,0,0,135,0,0,200,0,295
male,0,0,130,30,0,0,120,0,705,0,0,275,90,0,90,0,0
male,0,0,25,49,0,0,0,0,510,5,0,195,0,0,161,0,495
female,0,155,90,257,0,0,16,0,360,0,0,322,0,0,160,0,0
female,0,0,30,30,0,0,185,0,735,0,0,410,0,0,50,0,0
female,0,0,0,10,0,0,60,0,840,0,0,530,0,0,0,0,0
female,45,0,0,30,0,0,416,0,624,0,0,277,0,30,18,0,0
female,140,0,0,10,60,0,110,90,785,0,0,140,0,25,80,0,0
female,0,0,88,65,0,0,55,0,530,0,120,30,0,0,77,0,475
male,0,0,5,60,0,0,0,0,460,0,0,210,0,0,190,0,515
female,0,0,130,105,0,0,90,0,705,0,0,370,0,0,40,0,0
female,0,0,0,45,0,0,90,0,515,0,0,235,0,0,30,0,480
female,0,0,0,150,0,0,60,0,655,0,0,555,0,0,20,0,0
male,0,0,0,65,0,0,0,0,615,0,0,120,0,0,40,0,600
female,5,0,0,20,0,0,157,0,660,0,155,433,0,0,10,0,0
female,0,0,60,30,0,0,60,0,540,0,0,140,0,0,130,0,480
female,0,5,11,50,0,0,460,0,615,0,0,239,0,15,45,0,0
female,190,17,65,75,0,0,0,65,488,0,0,60,186,0,294,0,0
female,0,0,0,95,0,0,90,0,730,0,0,60,0,0,30,0,435
female,0,0,0,30,0,0,180,0,540,0,0,670,0,0,20,0,0
female,188,2,0,75,0,0,45,0,615,0,105,330,0,0,80,0,0
female,0,0,0,10,0,0,130,0,570,0,0,635,0,95,0,0,0
male,0,0,0,75,0,0,75,0,585,0,0,120,0,0,90,0,0
male,6,0,92,30,0,0,195,0,510,0,0,281,0,0,326,0,0
female,0,0,0,30,0,0,0,0,690,0,0,720,0,0,0,0,0
female,40,2,0,55,0,0,85,0,570,0,0,133,30,0,45,0,480
female,0,0,0,45,0,0,203,0,585,0,0,330,0,120,132,0,20
female,0,0,0,60,0,0,125,0,405,0,0,160,0,0,40,0,650
